siros_sg_empresa_icao;siros_nr_voo;siros_sg_icao_origem;siros_sg_icao_destino;siros_cd_tipo_servico;siros_dt_partida_prevista_bsb;siros_dt_chegada_prevista_bsb;vra_nm_empresa;vra_nm_aerodromo_origem;vra_nm_municipio_origem;vra_nm_aerodromo_destino;vra_nm_municipio_destino;vra_dt_partida_real;vra_dt_chegada_real;vra_sn_cancelado;vra_sn_atraso_maior_30min;vra_nr_min_atraso_partida;vra_nr_min_atraso_chegada;estatistica_matricula;estatistica_cd_di;reg_voo_matricula;origem_ds_ceu_menos_4;origem_ds_ceu_menos_3;origem_ds_ceu_menos_2;origem_ds_ceu_menos_1;origem_ds_ceu;origem_ds_ceu_mais_1;origem_ds_ceu_mais_2;origem_ds_ceu_mais_3;origem_ds_ceu_mais_4;origem_ds_tempo_menos_4;origem_ds_tempo_menos_3;origem_ds_tempo_menos_2;origem_ds_tempo_menos_1;origem_ds_tempo;origem_ds_tempo_mais_1;origem_ds_tempo_mais_2;origem_ds_tempo_mais_3;origem_ds_tempo_mais_4;origem_cd_status_menos_4;origem_cd_status_menos_3;origem_cd_status_menos_2;origem_cd_status_menos_1;origem_cd_status;origem_cd_status_mais_1;origem_cd_status_mais_2;origem_cd_status_mais_3;origem_cd_status_mais_4;destino_ds_ceu_menos_4;destino_ds_ceu_menos_3;destino_ds_ceu_menos_2;destino_ds_ceu_menos_1;destino_ds_ceu;destino_ds_ceu_mais_1;destino_ds_ceu_mais_2;destino_ds_ceu_mais_3;destino_ds_ceu_mais_4;destino_ds_tempo_menos_4;destino_ds_tempo_menos_3;destino_ds_tempo_menos_2;destino_ds_tempo_menos_1;destino_ds_tempo;destino_ds_tempo_mais_1;destino_ds_tempo_mais_2;destino_ds_tempo_mais_3;destino_ds_tempo_mais_4;destino_cd_status_menos_4;destino_cd_status_menos_3;destino_cd_status_menos_2;destino_cd_status_menos_1;destino_cd_status;destino_cd_status_mais_1;destino_cd_status_mais_2;destino_cd_status_mais_3;destino_cd_status_mais_4
AEA;23;LEMD;SGAS;P;06/11/2024 19:45;07/11/2024 07:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AEA;24;SGAS;LEMD;P;06/11/2024 14:10;07/11/2024 01:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AEA;25;LEMD;SLVR;P;06/11/2024 19:35;07/11/2024 06:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AEA;41;LEMD;SAEZ;P;06/11/2024 19:55;07/11/2024 08:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AEA;42;SAEZ;LEMD;P;06/11/2024 13:15;07/11/2024 01:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AEA;45;LEMD;SUMU;P;06/11/2024 19:45;07/11/2024 08:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AEA;57;LEMD;SBGR;J;06/11/2024 19:55;07/11/2024 06:30;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT;MADRID;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;06/11/2024 22:01;07/11/2024 07:42;0.0;1.0;126.0;72.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;encoberto;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
AEA;58;SBGR;LEMD;J;06/11/2024 15:05;07/11/2024 01:15;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT;MADRID;06/11/2024 15:32;07/11/2024 01:10;0.0;0.0;27.0;-5.0;;0;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
AEA;83;LEMD;SBSV;J;06/11/2024 11:25;06/11/2024 20:30;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT;MADRID;DEPUTADO LUÍS EDUARDO MAGALHÃES;SALVADOR;06/11/2024 13:16;06/11/2024 21:12;0.0;1.0;111.0;42.0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;;;;;
AEA;84;SBSV;LEMD;J;06/11/2024 22:55;07/11/2024 07:25;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;DEPUTADO LUÍS EDUARDO MAGALHÃES;SALVADOR;ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT;MADRID;06/11/2024 23:02;07/11/2024 07:08;0.0;0.0;7.0;-17.0;;0;;;;;;nublado;;;;;;;;;Sem tempo significativo;;;;;;;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;g;;;;
AEA;121;LEMD;SACO;P;06/11/2024 19:45;07/11/2024 08:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
